Rank,CPI2015,Country,Region,wbcode,World Economic Forum EOS,Bertelsmann Foundation TI,African Dev Bank,IMD World Competitiveness Yearbook,Bertelsmann Foundation SGI,World Justice Project ROL,PRS International Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT,Number of Sources,Std Deviation of Sources,Standard Error,Minimum,Maximum,Lower CI,Upper CI,CPI 2015,GDP per capita
1,91,Denmark,WE/EU,DNK,89.0,,,96.0,97.0,88.0,98.0,88.0,83.0,,,7,5.71,2.16,83,98,87,95,91,53084.52
2,90,Finland,WE/EU,FIN,93.0,,,91.0,89.0,88.0,98.0,88.0,83.0,,,7,4.69,1.77,83,98,87,93,90,42384.27
3,89,Sweden,WE/EU,SWE,89.0,,,87.0,89.0,88.0,98.0,88.0,83.0,,,7,4.53,1.71,83,98,86,92,89,50586.88
4,88,New Zealand,AP,NZL,92.0,,,93.0,81.0,83.0,98.0,88.0,83.0,,,7,6.32,2.39,81,98,84,92,88,37807.97
5,87,Netherlands,WE/EU,NLD,84.0,,,85.0,97.0,85.0,89.0,88.0,83.0,,,7,4.79,1.81,83,97,84,90,87,44299.77
5,87,Norway,WE/EU,NOR,92.0,,,84.0,73.0,90.0,98.0,88.0,83.0,,,7,7.93,3.0,73,98,82,92,87,74400.37
7,86,Switzerland,WE/EU,CHE,87.0,,,88.0,89.0,,89.0,88.0,73.0,,,6,6.25,2.55,73,89,82,90,86,80945.08
8,85,Singapore,AP,SGP,92.0,75.0,,87.0,,90.0,79.0,88.0,83.0,84.0,,8,5.7,2.02,75,92,82,88,85,52888.74
9,83,Canada,AME,CAN,79.0,,,79.0,81.0,79.0,89.0,88.0,83.0,,,7,4.31,1.63,79,89,80,86,83,43311.88
10,81,Germany,WE/EU,DEU,72.0,,,83.0,81.0,80.0,89.0,88.0,73.0,,,7,6.62,2.5,72,89,77,85,81,41313.31
10,81,Luxembourg,WE/EU,LUX,89.0,,,85.0,57.0,,89.0,,83.0,,,5,13.45,6.02,57,89,71,91,81,99705.14
10,81,United Kingdom,WE/EU,GBR,82.0,,,81.0,73.0,80.0,89.0,88.0,73.0,,,7,6.36,2.4,73,89,77,85,81,43923.37
13,79,Australia,AP,AUS,81.0,,,82.0,81.0,81.0,79.0,71.0,83.0,74.0,,8,4.24,1.5,71,83,77,81,79,56310.96
13,79,Iceland,WE/EU,ISL,87.0,,,83.0,65.0,,89.0,,73.0,,,5,10.14,4.53,65,89,72,86,79,50720.77
15,77,Belgium,WE/EU,BEL,79.0,,,77.0,81.0,76.0,79.0,71.0,73.0,,,7,3.55,1.34,71,81,75,79,77,40324.05
16,76,Austria,WE/EU,AUT,77.0,,,70.0,81.0,81.0,79.0,71.0,73.0,,,7,4.65,1.76,70,81,73,79,76,43774.99
18,75,Hong Kong,AP,HKG,87.0,,,80.0,,78.0,69.0,71.0,73.0,70.0,,7,6.55,2.48,69,87,71,79,75,42327.84
18,75,Ireland,WE/EU,IRL,89.0,,,83.0,73.0,,79.0,54.0,73.0,,,6,12.04,4.92,54,89,67,83,75,61133.67
18,75,Japan,AP,JPN,84.0,,,76.0,57.0,76.0,79.0,71.0,73.0,82.0,,8,8.38,2.96,57,84,70,80,75,34523.7
21,74,Uruguay,AME,URY,71.0,79.0,,,,70.0,79.0,71.0,73.0,,,6,4.12,1.68,70,79,71,77,74,15573.9
22,71,Qatar,MENA,QAT,83.0,40.0,,79.0,,,69.0,71.0,83.0,,,6,16.23,6.63,40,83,60,82,71,73653.39
23,70,Chile,AME,CHL,66.0,75.0,,60.0,65.0,68.0,79.0,71.0,73.0,,,8,6.09,2.15,60,79,66,74,70,13416.23
23,70,Estonia,WE/EU,EST,79.0,75.0,,73.0,81.0,71.0,69.0,54.0,63.0,,66.0,9,8.36,2.79,54,81,65,75,70,17118.5
23,70,France,WE/EU,FRA,70.0,,,71.0,57.0,71.0,79.0,71.0,73.0,,,7,6.6,2.49,57,79,66,74,70,36205.57
23,70,United Arab Emirates,MENA,ARE,91.0,53.0,,76.0,,77.0,69.0,54.0,73.0,,,7,13.41,5.07,53,91,62,78,70,40438.76
27,65,Bhutan,AP,BTN,60.0,66.0,,,,,,,63.0,,,4,4.27,2.14,60,70,61,69,65,2656.0
28,63,Botswana,SSA,BWA,59.0,58.0,,,,58.0,69.0,71.0,63.0,,,6,5.76,2.35,58,71,59,67,63,6360.14
28,63,Portugal,WE/EU,PRT,62.0,,,58.0,57.0,68.0,69.0,54.0,73.0,,,7,7.12,2.69,54,73,59,67,63,19240.45
30,62,Poland,WE/EU,POL,58.0,71.0,,58.0,65.0,67.0,60.0,54.0,73.0,,55.0,9,6.93,2.31,54,73,58,66,62,12554.55
32,61,Cyprus,WE/EU,CYP,55.0,,,,49.0,,69.0,71.0,63.0,,,5,9.32,4.17,49,71,54,68,61,16785.33
32,61,Israel,MENA,ISR,64.0,,,56.0,65.0,,60.0,71.0,52.0,,,6,6.8,2.78,52,71,56,66,61,35728.09
